Month,Day,Item,Genre ,Link,Description
06,03,The Queer Archive Festival,festival,https://www.thequeerarchive.com/,
06,22,Woman (OmeU) Open Air Cinema on the island,cinema,https://www.facebook.com/events/230180511886615/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"Woman is a worldwide project giving a voice to 2000 women across 50 different countries. Despite its very large scale, the film offers an intimate portrait of those who constitute half of the humanity."
06,23,Lebanon Hanover Livestream Concert,music,https://www.facebook.com/events/805815160042142/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"Lebanon Hanover , an ice cold reply to the alienated world coming from two warm beating hearts."
06,24,Sing Out Sister! Karaoke,music,https://www.facebook.com/events/245346007391767/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,Karaoke in a bar
06,25,Neinmaschine - krachiger Post-Punk & Punk,music,https://www.facebook.com/events/496969678290364/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"Die Neinmaschine im Internet. Hier läuft alles, was punkig und krachig ist."
06,25,Queerfeminismus und Islam - eine feministische Kritik.,workshop,https://www.facebook.com/events/164246712329463/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"In den letzten Jahren hat sich im gegenwärtig diskursdominierenden Queerfeminismus eine Strömung herausgebildet, die diese Fragen mit “Ja!” beantwortet."
06,26,Non Native Native Fair,online fair,https://www.nnnfair.com/,"The NON NATIVE NATIVE FAIR is an experimental hybrid event that brings together Asian creative cultural practitioners from various backgrounds and disciplines to present their work and products in an online trade fair environment. By repurposing the concept of an “Asian cultural fair” — a collage of elements which represent Asian culture — the NNN Fair examines the positions and relationships of Aliens within the Dutch cultural landscape by blurring the boundaries between reality and fiction, appreciation and appropriation, labour and play."
06,28,Why we matter - Emilia Roig,reading,https://www.shesaid.de/collections/talks/products/lesung-mit-emilia-roig,"Das sagt der Aufbau Verlag über das Buch: „Wie erkennen wir unsere Privilegien? Wie können Weiße die Realität von Schwarzen sehen? Männliche Muslime die von weißen Frauen? Und weiße Frauen die von männlichen Muslimen?
Die Aktivistin und Politologin Emilia Roig zeigt – auch anhand der Geschichte ihrer eigenen Familie, in der wie unter einem Brennglas Rassismus und Black Pride, Antisemitismus und Auschwitz, Homophobie und Queerness, Patriarchat und Feminismus aufeinanderprallen –, wie sich Rassismus im Alltag mit anderen Arten der Diskriminierung überschneidet. "
07,04,Victoria Pride Week Festival Extravaganza Show 2021,festival,https://www.facebook.com/events/929065171260025/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,The Victoria Pride Festival Extravaganza Show features a variety of spectacular performances from local LGBTQIA2S+ artists from drag to dance to music and more!
07,08,Speerspitze des postkolonialen Antisemitismus,workshop,https://www.facebook.com/events/294492315674311/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,Achille Mbembes ›Nekropolitik‹ als Handreichung für deutsche Erinnerungskultur
07,14,"Silvia Federici: Women, Capitalism, and the Body",workshop,https://www.facebook.com/events/319473799701261/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"In this course, we’ll read closely the entirety of Federici’s Caliban and the Witch: Women, the Body, and Primitive Accumulation—exploring, as we go, the history of the body during the transition to capitalism."
07,29,Michael Schüßler: Zur Kritik des performativen Körpers,workshop,https://www.facebook.com/events/152917710156739/?acontext=%7B%22event_action_history%22%3A,Vortrag und Diskussion mit Michael Schüßler
08,04,Tina Sanders: Girl Bosses. Zur Frauenquote als Ideologie,workshop,https://www.facebook.com/events/1610328952495973/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"Tina Sanders ist Politologin und Soziologin und lebt in Leipzig. Sie beschäftigt sich mit Antisemitismus und Frauenrechten im internationalen Kontext sowie der Kritik von Kapitalismus, Islam und Identitätspolitik."
09,11,"Tanzdemo ""Wem gehört die Stadt?""",protest,https://www.facebook.com/events/5638306882877089/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22discovery_top_tab%22%2C%22surface%22%3A%22bookmark%22%7D]%7D,"Gemeinsam zeigen wir, dass Tanzen und Politik keine Gegensätze sind, sondern Ausdruck einer Gesellschaft, die zusammenkommt, sich vernetzt und sich einmischt. Wenn wir die Stadt nicht verändern, tun es andere für uns."
